metric,value,event_count
screen_width,1920,776146
screen_width,1536,127512
screen_width,1280,81096
screen_width,1600,34823
screen_width,1366,33211
screen_width,2560,22780
screen_width,1440,20828
screen_width,2048,12852
screen_width,3440,12472
screen_width,1680,9007
screen_width,384,5800
screen_width,360,5299
screen_width,393,5193
screen_width,1080,4214
screen_width,2240,4054
screen_width,390,3648
screen_width,1229,3210
screen_width,430,3138
screen_width,385,3004
screen_width,1512,2909
screen_width,1728,2667
screen_width,440,2540
screen_width,1250,2490
screen_width,3840,2376
screen_width,1715,2134
screen_width,412,2085
screen_width,1664,1949
screen_width,1368,1591
screen_width,402,1466
screen_width,375,1462
screen_width,2752,1429
screen_width,1024,1383
screen_width,2195,1378
screen_width,1847,1348
screen_width,432,1333
screen_width,1344,1324
screen_width,1746,1195
screen_width,1470,1177
screen_width,1463,1166
screen_width,407,1157
screen_width,377,1071
screen_width,1291,1041
screen_width,2657,1017
screen_width,1143,1003
screen_width,1200,986
screen_width,1537,952
screen_width,1239,952
screen_width,1307,848
screen_width,1500,826
screen_width,414,825
screen_width,1360,771
screen_width,1830,757
screen_width,428,699
screen_width,1506,666
screen_width,2144,655
screen_width,820,653
screen_width,1720,611
screen_width,1376,609
screen_width,1504,593
screen_width,320,532
screen_width,1829,528
screen_width,1434,523
screen_width,2304,517
screen_width,1700,501
screen_width,1805,424
screen_width,2400,422
screen_width,1856,372
screen_width,339,372
screen_width,2561,359
screen_width,1603,332
screen_width,1970,305
screen_width,1762,298
screen_width,1281,289
screen_width,1046,268
screen_width,810,250
screen_width,1268,243
screen_width,834,225
screen_width,1352,221
screen_width,1707,214
screen_width,1865,209
screen_width,1396,205
screen_width,1670,190
screen_width,2439,190
screen_width,1997,189
screen_width,1792,171
screen_width,1639,165
screen_width,1098,155
screen_width,424,153
screen_width,1155,147
screen_width,800,138
screen_width,1696,132
screen_width,1392,119
screen_width,769,114
screen_width,1760,112
screen_width,408,107
screen_width,387,103
screen_width,376,101
screen_width,388,99
screen_width,1710,98
screen_width,1676,95
screen_width,1524,86
screen_width,1112,82
screen_width,1466,76
screen_width,806,73
screen_width,1740,72
screen_width,448,70
screen_width,378,70
screen_width,396,68
screen_width,1587,66
screen_width,4096,66
screen_width,1372,66
screen_width,1642,60
screen_width,1314,57
screen_width,2637,55
screen_width,370,54
screen_width,1492,52
screen_width,980,52
screen_width,1011,48
screen_width,1264,47
screen_width,427,46
screen_width,1812,45
screen_width,434,45
screen_width,1120,39
screen_width,2328,37
screen_width,5120,37
screen_width,3072,36
screen_width,876,34
screen_width,668,33
screen_width,1751,33
screen_width,600,32
screen_width,691,29
screen_width,750,29
screen_width,1400,28
screen_width,832,28
screen_width,1050,24
screen_width,708,23
screen_width,854,22
screen_width,1912,22
screen_width,867,21
screen_width,686,20
screen_width,915,20
screen_width,1407,19
screen_width,823,17
screen_width,369,17
screen_width,1042,15
screen_width,960,15
screen_width,1373,15
screen_width,1496,15
screen_width,1220,15
screen_width,352,15
screen_width,1825,12
screen_width,2001,12
screen_width,1323,12
screen_width,824,10
screen_width,1528,9
screen_width,2478,9
screen_width,1123,9
screen_width,367,7
screen_width,1058,7
screen_width,366,7
screen_width,2872,7
screen_width,1408,7
screen_width,1088,7
screen_width,804,7
screen_width,1320,7
screen_width,1739,6
screen_width,350,6
screen_width,1476,6
screen_width,839,6
screen_width,2112,5
screen_width,744,5
screen_width,325,5
screen_width,873,5
screen_width,345,4
screen_width,346,4
screen_width,1334,4
screen_width,892,4
screen_width,740,3
screen_width,780,3
screen_width,0,2
screen_width,386,2
screen_width,3680,1
screen_width,747,1
screen_width,1510,1
screen_width,912,1
screen_width,968,1
screen_width,998,1
screen_height,1080,760536
screen_height,864,116912
screen_height,720,72530
screen_height,900,54414
screen_height,768,35110
screen_height,1440,32818
screen_height,1200,19918
screen_height,960,12191
screen_height,1050,9035
screen_height,1152,8650
screen_height,1153,5732
screen_height,800,5543
screen_height,1920,5169
screen_height,1024,5159
screen_height,832,4283
screen_height,956,4218
screen_height,982,4082
screen_height,1260,4054
screen_height,844,3895
screen_height,932,3138
screen_height,873,2762
screen_height,860,2675
screen_height,692,2610
screen_height,703,2495
screen_height,1117,2279
screen_height,965,2179
screen_height,865,2156
screen_height,852,1713
screen_height,915,1606
screen_height,912,1591
screen_height,780,1495
screen_height,874,1464
screen_height,1235,1378
screen_height,1039,1348
screen_height,1029,1252
screen_height,1110,1207
screen_height,904,1157
screen_height,840,1147
screen_height,839,1071
screen_height,735,1049
screen_height,727,1041
screen_height,1113,1017
screen_height,643,1003
screen_height,697,952
screen_height,892,947
screen_height,820,876
screen_height,806,825
screen_height,896,814
screen_height,854,742
screen_height,936,742
screen_height,926,699
screen_height,812,682
screen_height,1600,668
screen_height,848,666
screen_height,1206,655
screen_height,1180,652
screen_height,1003,593
screen_height,774,553
screen_height,824,547
screen_height,667,522
screen_height,2160,517
screen_height,1296,517
screen_height,857,478
screen_height,845,466
screen_height,875,444
screen_height,1204,424
screen_height,1350,422
screen_height,972,388
screen_height,693,384
screen_height,1044,372
screen_height,1372,355
screen_height,902,332
screen_height,803,327
screen_height,756,323
screen_height,814,320
screen_height,1108,305
screen_height,991,298
screen_height,784,286
screen_height,825,279
screen_height,883,268
screen_height,588,268
screen_height,641,248
screen_height,833,242
screen_height,1067,233
screen_height,772,222
screen_height,878,221
screen_height,1112,211
screen_height,657,209
screen_height,1049,209
screen_height,785,205
screen_height,796,196
screen_height,924,192
screen_height,940,190
screen_height,1332,189
screen_height,998,177
screen_height,880,176
screen_height,1120,171
screen_height,740,159
screen_height,618,155
screen_height,650,147
screen_height,869,147
screen_height,1366,143
screen_height,954,132
screen_height,640,124
screen_height,851,123
screen_height,747,120
screen_height,783,119
screen_height,1000,113
screen_height,990,112
screen_height,810,109
screen_height,858,101
screen_height,879,100
screen_height,943,95
screen_height,1107,93
screen_height,793,90
screen_height,1280,83
screen_height,835,82
screen_height,625,82
screen_height,694,82
screen_height,979,78
screen_height,968,72
screen_height,829,67
screen_height,753,66
screen_height,893,66
screen_height,787,62
screen_height,861,60
screen_height,739,57
screen_height,1104,55
screen_height,2005,52
screen_height,933,52
screen_height,804,52
screen_height,569,48
screen_height,360,47
screen_height,952,46
screen_height,1019,45
screen_height,942,44
screen_height,712,44
screen_height,711,42
screen_height,728,41
screen_height,700,39
screen_height,384,38
screen_height,1310,37
screen_height,1728,36
screen_height,1030,35
screen_height,792,34
screen_height,702,34
screen_height,985,33
screen_height,754,29
screen_height,480,26
screen_height,591,24
screen_height,412,23
screen_height,823,23
screen_height,805,23
screen_height,1072,22
screen_height,1115,19
screen_height,1194,19
screen_height,1248,18
screen_height,600,18
screen_height,1151,17
screen_height,906,17
screen_height,846,16
screen_height,432,15
screen_height,1098,15
screen_height,781,15
screen_height,686,15
screen_height,842,15
screen_height,606,14
screen_height,709,14
screen_height,660,13
screen_height,1126,12
screen_height,1027,12
screen_height,721,11
screen_height,736,11
screen_height,961,9
screen_height,612,9
screen_height,1033,9
screen_height,946,9
screen_height,632,9
screen_height,802,8
screen_height,895,8
screen_height,1203,7
screen_height,801,7
screen_height,596,7
screen_height,377,6
screen_height,917,6
screen_height,830,6
screen_height,817,6
screen_height,1334,6
screen_height,770,5
screen_height,1188,5
screen_height,1133,5
screen_height,723,5
screen_height,744,5
screen_height,393,5
screen_height,2561,5
screen_height,636,4
screen_height,748,4
screen_height,706,4
screen_height,696,4
screen_height,718,4
screen_height,684,4
screen_height,771,3
screen_height,0,2
screen_height,1463,1
screen_height,651,1
screen_height,585,1
screen_height,688,1
screen_height,1415,1
screen_height,850,1
screen_height,408,1
screen_height,1441,1
screen_height,1368,1
screen_height,967,1
screen_height,775,1
screen_height,760,1
screen_height,666,1
